work_order,priority,workstream,country,issue,date_or_span,title_or_scope,evidence_count,private_record_count,high_priority_print_leads,public_statement_count,source_or_folder,related_export,related_rank_or_id,recommended_action,why_it_matters,first_link,supporting_links
23,Critical,Issue dossier,Paraguay,Presidential diplomacy and head-of-state contacts,1989-04-01 to 1992-12-08,Presidential diplomacy and head-of-state contacts - Paraguay,95,2,19,16,"12793-030; 12796-002; 12796-024","issue-dossiers.csv; selection-matrix.csv; evidence-timeline.csv",16,Use this issue-country cluster to test top OCR leads against a thin or risky chapter chronology.,"19 high-priority print leads; 2 verified private records",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-04_01_89-12793-030_415889741.pdf,"https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-04_01_89-12793-030_415889741.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-05_02_89-12796-002_415889803.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-05_13_89-12796-024_415889825.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-09_25_89-12806-016_415890095.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-10_27_89-12809-016_415890159.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-11_13_89-12811-005_415890192.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-11_13_89-12811-006_415890193.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-11_14_89-12811-008_415890195.pdf"
24,Critical,Issue dossier,Bolivia,Narcotics and Andean drug policy,1989-03-03 to 1992-09-09,Narcotics and Andean drug policy - Bolivia,56,1,20,32,"1989, Book I; 1989, Book II; 1990, Book I","issue-dossiers.csv; selection-matrix.csv; evidence-timeline.csv",17,Use this issue-country cluster to test top OCR leads against a thin or risky chapter chronology.,"20 high-priority print leads; 1 verified private records",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-011.pdf#page=39,"documents/bolivia/1990-02-15-bush-jaime-paz-zamora-memcon-91107-007-p73-scowcroft.pdf; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-011.pdf#page=39; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-015.pdf#page=56; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-015.pdf#page=57; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-003.pdf#page=48; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-020.pdf#page=76; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-020.pdf#page=82; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00303-004.pdf#page=36"
25,Critical,Issue dossier,Regional/No single country,Regional policy and inter-American affairs,1989-02-24 to 1990-06-14,Regional policy and inter-American affairs - Regional/No single country,49,0,30,0,"Andean [Drug] Summit 1989 [1]; Latin America - Business Groups; Latin America - General - January 20, 1989-December 31, 1989 [1]","issue-dossiers.csv; selection-matrix.csv; evidence-timeline.csv",18,Use this as a candidate issue trail where no released private memcon/telcon currently anchors the chapter.,"30 high-priority print leads; 0 verified private records; no private anchor",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-002.pdf#page=20,"https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-002.pdf#page=20; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00192-001.pdf#page=17; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00192-001.pdf#page=21; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00192-001.pdf#page=25; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00192-001.pdf#page=31; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00192-001.pdf#page=40; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00192-001.pdf#page=46; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00192-001.pdf#page=5"
26,Critical,Issue dossier,Argentina,"Democracy, elections, and transitions",1989-01-26 to 1992-10-23,"Democracy, elections, and transitions - Argentina",45,0,27,11,"1989, Book I; 1990, Book I; 1990, Book II","issue-dossiers.csv; selection-matrix.csv; evidence-timeline.csv",19,Use this as a candidate issue trail where no released private memcon/telcon currently anchors the chapter.,"27 high-priority print leads; 0 verified private records; no private anchor",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-008.pdf#page=29,"https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-008.pdf#page=29; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-008.pdf#page=31; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-009.pdf#page=138; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-009.pdf#page=142; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-009.pdf#page=143; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-003.pdf#page=65; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-005.pdf#page=9; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-011.pdf#page=39"
27,Critical,Issue dossier,Bolivia,"Democracy, elections, and transitions",1989-03-01 to 1992-07-03,"Democracy, elections, and transitions - Bolivia",29,0,17,7,"1989, Book II; 1990, Book I; 1990, Book II","issue-dossiers.csv; selection-matrix.csv; evidence-timeline.csv",20,Use this issue-country cluster to test top OCR leads against a thin or risky chapter chronology.,"17 high-priority print leads; 0 verified private records; no private anchor",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-013.pdf#page=58,"https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-013.pdf#page=58; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-011.pdf#page=39; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-015.pdf#page=56; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-015.pdf#page=57; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-003.pdf#page=28; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-003.pdf#page=29; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-003.pdf#page=47; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-004.pdf#page=6"
28,Critical,Issue dossier,Chile,"Democracy, elections, and transitions",1989-02-03 to 1992-09-30,"Democracy, elections, and transitions - Chile",33,0,16,15,"1989, Book I; 1990, Book I; 1990, Book II","issue-dossiers.csv; selection-matrix.csv; evidence-timeline.csv",21,Use this issue-country cluster to test top OCR leads against a thin or risky chapter chronology.,"16 high-priority print leads; 0 verified private records; no private anchor",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-007.pdf#page=5,"https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-007.pdf#page=5; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-009.pdf#page=34; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-013.pdf#page=51; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-013.pdf#page=52; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-012.pdf#page=98; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-019.pdf#page=32; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-013.pdf#page=54; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-018.pdf#page=91"
29,Critical,Issue dossier,Ecuador,Presidential diplomacy and head-of-state contacts,1989-02-02 to 1992-12-03,Presidential diplomacy and head-of-state contacts - Ecuador,102,3,11,17,"12789-028; 12790-008; 12790-009","issue-dossiers.csv; selection-matrix.csv; evidence-timeline.csv",22,Use this issue-country cluster to test top OCR leads against a thin or risky chapter chronology.,"11 high-priority print leads; 3 verified private records",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_02_89-12789-028_415889625.pdf,"https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_02_89-12789-028_415889625.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_06_89-12790-008_415889633.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_07_89-12790-009_415889634.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_07_89-12790-010_415889635.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-09_06_89-12805-001_415890056.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-09_06_89-12805-002_415890057.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-09_25_89-12806-016_415890095.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-10_27_89-12809-016_415890159.pdf"
30,Critical,Issue dossier,Bolivia,Regional policy and inter-American affairs,1989-03-03 to 1992-12-17,Regional policy and inter-American affairs - Bolivia,42,4,12,10,"12791-029; 12791-030; 12801-015","issue-dossiers.csv; selection-matrix.csv; evidence-timeline.csv",23,Use this issue-country cluster to test top OCR leads against a thin or risky chapter chronology.,"12 high-priority print leads; 4 verified private records",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_03_89-12791-029_415889682.pdf,"documents/bolivia/1990-02-15-bush-jaime-paz-zamora-memcon-91107-007-p73-scowcroft.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_03_89-12791-029_415889682.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_03_89-12791-030_415889683.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-07_07_89-12801-015_415889934.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-07_07_89-12801-016_415889935.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-09_25_89-12806-015_415890094.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-09_25_89-12806-016_415890095.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-12_20_89-12813-022_415890267.pdf"
31,Critical,Issue dossier,Colombia,Regional policy and inter-American affairs,1989-03-03 to 1992-12-17,Regional policy and inter-American affairs - Colombia,102,24,12,15,"12791-029; 12791-030; 12792-005","issue-dossiers.csv; selection-matrix.csv; evidence-timeline.csv",24,Compare print leads against verified private records before deciding whether the issue needs additional printed documents or annotation.,"12 high-priority print leads; 24 verified private records",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_03_89-12791-029_415889682.pdf,"documents/colombia/1989-05-31-bush-virgilio-barco-telcon-91111-002-p38-scowcroft.pdf; documents/colombia/1990-07-13-bush-virgilio-barco-memcon-91108-001-p73-scowcroft.pdf; documents/colombia/1990-09-29-bush-cesar-gaviria-memcon-91108-002-p27-scowcroft.pdf; documents/colombia/1990-11-23-bush-cesar-gaviria-telcon-91112-003-p63-scowcroft.pdf; documents/colombia/1991-02-26-bush-cesar-gaviria-memcon-91108-004-p33-scowcroft.pdf; documents/colombia/1991-06-20-bush-cesar-gaviria-telcon-91112-008-p74-scowcroft.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_03_89-12791-029_415889682.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_03_89-12791-030_415889683.pdf"
32,Critical,Issue dossier,Brazil,Regional policy and inter-American affairs,1989-01-31 to 1992-09-10,Regional policy and inter-American affairs - Brazil,77,14,14,11,"12791-017; 12791-018; 12797-005","issue-dossiers.csv; selection-matrix.csv; evidence-timeline.csv",25,Compare print leads against verified private records before deciding whether the issue needs additional printed documents or annotation.,"14 high-priority print leads; 14 verified private records",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_25_89-12791-017_415889670.pdf,"documents/brazil/1992-03-25-bush-fernando-collor-de-mello-telcon-91113-003-p45-scowcroft.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_25_89-12791-017_415889670.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_25_89-12791-018_415889671.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-05_17_89-12797-005_415889832.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-05_17_89-12797-006_415889833.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-09_25_89-12806-015_415890094.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-09_25_89-12806-016_415890095.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-01_26_90-12816-005_415890340.pdf"
33,Critical,Issue dossier,Peru,Regional policy and inter-American affairs,1989-03-03 to 1992-09-09,Regional policy and inter-American affairs - Peru,45,4,9,12,"12791-029; 12791-030; 12796-023","issue-dossiers.csv; selection-matrix.csv; evidence-timeline.csv",26,Use this issue-country cluster to test top OCR leads against a thin or risky chapter chronology.,"9 high-priority print leads; 4 verified private records",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_03_89-12791-029_415889682.pdf,"https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_03_89-12791-029_415889682.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_03_89-12791-030_415889683.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-05_13_89-12796-023_415889824.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-05_13_89-12796-024_415889825.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-05_17_89-12797-005_415889832.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-05_17_89-12797-006_415889833.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-09_25_89-12806-016_415890095.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-02_15_90-12818-009_415890380.pdf"
34,Critical,Issue dossier,Bolivia,"Debt, trade, and Enterprise for the Americas",1989-03-01 to 1992-12-17,"Debt, trade, and Enterprise for the Americas - Bolivia",31,0,8,14,"1989, Book II; 1990, Book I; 1990, Book II","issue-dossiers.csv; selection-matrix.csv; evidence-timeline.csv",27,Use this issue-country cluster to test top OCR leads against a thin or risky chapter chronology.,"8 high-priority print leads; 0 verified private records; no private anchor",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-013.pdf#page=58,"https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-013.pdf#page=58; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-011.pdf#page=39; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-015.pdf#page=57; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-002.pdf#page=87; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-003.pdf#page=44; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-003.pdf#page=47; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-003.pdf#page=49; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00303-003.pdf#page=6"
