priority,score,countries,document_date,document_type,document_no,document_title,source_series,local_identifier,folder_title,folder_naid,page_start,page_end,extraction,themes,review_reason,ocr_snippet,access_restriction,source_note,page_link,pdf_url,catalog_url
High,72,Brazil,"February 17, 1989",Memorandum,,Letter to OAS Secretary General Baena Soares,Latin American Directorate Chronological Files,CF00300-006,"February 1, 1989-March 1, 1989 [2]",470766407,45,,ocr-document-start,"presidential diplomacy; regional policy","memorandum form; Presidential or NSC principals; presidential diplomacy, regional policy; document text visible in OCR","NATIONAL SECURITY COUNCIL WASHINGTON, D.C. 20506 937 February 17, 1989 MEMORANDUM FOR BRENT SCOWZROFT FROM: ROBERT S./}PASTORINO SUBJECT: Letter to OAS Secretary General Baena Soares Attached is a proposed letter for Presidential signature to OAS Secretary General Joao Clemente Baena Soares. It responds to his congratulatory letter of January 25 to President Bush. RECOMMENDATION That you sign the attached memo at Tab",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-006, February 1, 1989-March 1, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-006.pdf#page=45,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-006.pdf,https://catalog.archives.gov/id/470766407
High,72,Brazil,"February 2, 1989",Memorandum of Conversation,,Transmittal to the State Department of a,Latin American Directorate Chronological Files,CF00300-009,"February 1, 1989-March 1, 1989 [5]",470766410,100,,ocr-document-start,"presidential diplomacy; regional policy","memorandum form; Presidential or NSC principals; presidential diplomacy, regional policy; document text visible in OCR","0349 February 2, 1989 —_ CHRON FILE MEMORANDUM FOR ROBERT M. PERITO e fA FROM: DAVID A. PACELLI SUBJECT: Transmittal to the State Department of a Memorandum of Conversation Between the Vice President and the OAS Secretary General The Vice President met with Joao Clemente Baena Soares, Secretary General of the Organization of American States, on January 30, 1989. The conversation and the Secretary General’s aide-memoi",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-009, February 1, 1989-March 1, 1989 [5]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-009.pdf#page=100,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-009.pdf,https://catalog.archives.gov/id/470766410
High,72,Uruguay,"February 2, 1990",Memorandum,,Briefing Materials for the President's Meeting with,Latin American Affairs Directorate Subject Files,CF00193-016,"Uruguay - January 20, 1989-December 31, 1989",470766531,20,,ocr-document-start,presidential diplomacy,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","United States Department of State Washington, D.C. 20520 0889 February 2, 1990 MEMORANDUM FOR BRENT SCOWCROFT THE WHITE HOUSE SUBJECT: Briefing Materials for the President's Meeting with Uruguay's President-Elect, Luis Alberto Lacalle Briefing materials and suggested talking points for the President to use in his meeting with the President-elect of Uruguay on February 5 are attached. We expect Lacalle to be accompani",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-016, Uruguay - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-016.pdf#page=20,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-016.pdf,https://catalog.archives.gov/id/470766531
High,72,Uruguay,"February 2, 1990",Memorandum,,President’s Meeting with President-Elect,Latin American Affairs Directorate Subject Files,CF00193-016,"Uruguay - January 20, 1989-December 31, 1989",470766531,9,,ocr-document-start,presidential diplomacy,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","CONFIDENTIAT -SEGRET 0876 (wASEERET attachment) NATIONAL SECURITY COUNCIL WASHINGTON, D.C. 20506 February 2, 1990 ACTION MEMORANDUM FOR BRENT SCOWCROFT FROM: WILLIAM T. PRYCE\ SUBJECT: President’s Meeting with President-Elect Luis Alberto Lacalle of Uruguay Attached at Tab I is a memorandum for the President forwarding information on President-elect Lacalle of Uruguay for use at his meeting scheduled for Monday, Febr",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-016, Uruguay - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-016.pdf#page=9,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-016.pdf,https://catalog.archives.gov/id/470766531
High,72,,"February 24, 1989",Memorandum,,From: JOSEPH W. HAGIN II,Latin American Affairs Directorate Subject Files,CF00196-020,"Latin America - General - January 20, 1989-December 31, 1989 [1]",470766606,75,,ocr-document-start,"Latin America; presidential diplomacy; regional policy","memorandum form; Presidential or NSC principals; Latin America, presidential diplomacy, regional policy; document text visible in OCR","a | APPOINTMENT CO SCHEDULE THE WHITE HOUSE WASHINGTON O7T4O RESPONSE DUE DATE: February 24, 1989 REQUEST FOR SCHEDULING RECOMMENDATION MEMORANDUM FOR: GOVERNOR SUNUNU JAMES CICCONI ANDREW CARD, JR. DAVID DEMAREST ROGER PORTER MARLIN FITZWATER STEPHEN STUDDERT FREDERICK MCCLURE RICHARD BREEDEN J. BONNIE NEWMAN DAVID BATES x__ BRENT SCOWCROFT CHASE UNTERMEYER x__ C. BOYDEN GRAY | FROM: JOSEPH W. HAGIN II | PRESIDENTIA",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00196, CF00196-020, Latin America - General - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00196-020.pdf#page=75,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00196-020.pdf,https://catalog.archives.gov/id/470766606
High,72,Brazil,"February 25, 1989",Memorandum of Conversation,,President's Meeting with President,Latin American Affairs Directorate Subject Files,CF00189-014,"Brazil - January 20, 1989-December 31, 1989 [2]",470766487,22,,ocr-document-start,presidential diplomacy,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","THE WHITE HOUSE “ WASHINGTON SECREP MEMORANDUM OF CONVERSATION SUBJECT: President's Meeting with President Jose Sarney of Brazil PARTICIPANTS: U.S. The President James Baker III, Secretary of State John Sununu, Chief of Staff | Brent Scowcroft, Assistant to the President for National Security Affairs Max Marlin Fitzwater, Assistant to the President for Press Relations Robert Zoellick, Counselor-Designate of the State",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-014, Brazil - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2004-0734-F.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-014.pdf#page=22,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-014.pdf,https://catalog.archives.gov/id/470766487
High,72,"Brazil; Venezuela","February 6, 1989",Memorandum of Conversation,,"-"" - Memorandum of Conversation between Vice President",Latin American Affairs Directorate Subject Files,CF00189-014,"Brazil - January 20, 1989-December 31, 1989 [2]",470766487,78,,ocr-document-start,presidential diplomacy,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","’ OFFICE -OF THE VICE PRESIDENT WASHINGTON February 6, 1989 MEMORANDUM FOR THE HONORABLE MELVYN LEVITSKY, EXECUTIVE SECRETARY ~ DEPARTMENT ‘OF STATE FROM: - ~~ °Carnes Lord (Ag.: Assistant to ‘the”~Vice President for National Security Affairs t + SUBJECT: -"" - Memorandum of Conversation between Vice President:, Quayle and Prime Minister Felipe Gonzalez of Spain attached is the Memorandum of Conversation of the meetin",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-014, Brazil - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2004-0734-F.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-014.pdf#page=78,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-014.pdf,https://catalog.archives.gov/id/470766487
High,72,"Brazil; Venezuela","February 6, 1989",Memorandum of Conversation,,"| |"" """"Mémorandum of Conversation between Vice President",Latin American Affairs Directorate Subject Files,CF00189-014,"Brazil - January 20, 1989-December 31, 1989 [2]",470766487,76,,ocr-document-start,presidential diplomacy,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","UNCLASSIFIED W/SECRET ATTACHMENT — ey, OFFICE OF THE VICE PRESIDENT WASHINGTON February 6, 1989 MEMORANDUM FOR THE HONORABLE MELVYN LEVITSKY oe _ EXECUTIVE SECRETARY - DEPARTMENT OF STATE Assistant tothe Vice President for; National Security.Affairs SUBJECT: | |"" """"Mémorandum of Conversation between Vice President oo, Quayle and President Sarney of Brazil Attached is the Memorandum of Conversation of the | | FROM: uo",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-014, Brazil - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2004-0734-F.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-014.pdf#page=76,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-014.pdf,https://catalog.archives.gov/id/470766487
High,72,Ecuador,"February 8, 1989",Memorandum of Conversation,,Memorandum of Conversation Between the President,Latin American Directorate Chronological Files,CF00300-008,"February 1, 1989-March 1, 1989 [4]",470766409,56,,ocr-document-start,presidential diplomacy,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","CONFIDENT EAS 0568 NATIONAL SECURITY COUNCIL WASHINGTON, D.C. 20506 February 8, 1989 _ CHRON FE MEMORANDUM FOR G. PHILIP HUGHE THROUGH: ROBERT S. PA RINO FROM: CLARKE M. BRINTNALL ( SUBJECT: Memorandum of Conversation Between the President and Ambassador Jaime Moncayo of Ecuador Attached is a memorandum of conversation between the President and Ecuadorian Ambassador Jaime Moncayo during the Ambassador’s presentation",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-008, February 1, 1989-March 1, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-008.pdf#page=56,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-008.pdf,https://catalog.archives.gov/id/470766409
High,72,Ecuador,"February 8, 1989",Memorandum of Conversation,,Memorandum of Conversation Between the President,Latin American Affairs Directorate Subject Files,CF00194-019,"Ecuador - January 20, 1989-December 31, 1989",470766556,48,,ocr-document-start,presidential diplomacy,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","NATIONAL SECURITY COUNCIL P = WASHINGTON, 0.C. 20506 February 8, 1989 ACTION NOTED MEMORANDUM FOR G. PHILIP HUGHE THROUGH: ROBERT S. PA RINO FROM: CLARKE M. BRINTNALL (* SUBJECT: Memorandum of Conversation Between the President and Ambassador Jaime Moncayo of Ecuador Attached is a memorandum of conversation between the President and Ecuadorian Ambassador Jaime Moncayo during the Ambassador’s presentation of credentia",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00194, CF00194-019, Ecuador - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-019.pdf#page=48,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-019.pdf,https://catalog.archives.gov/id/470766556
High,72,,"fepruary 24, 1989",Memorandum,,From: JOSEPH W. HAGIN II,Latin American Affairs Directorate Subject Files,CF00196-020,"Latin America - General - January 20, 1989-December 31, 1989 [1]",470766606,76,,ocr-document-start,"Latin America; presidential diplomacy; regional policy","memorandum form; Presidential or NSC principals; Latin America, presidential diplomacy, regional policy; document text visible in OCR","& APPOINTHiENT QO) SCHEDULE,. THE WHITE HOUSE ? \ WASHINGTON RESPONSE DUE DATE: fepruary 24, 1989 REQUEST FOR SCHEDULING RECOMMENDATION MEMORANDUM FOR: GOVERNOR SUNUNU JAMES CICCONI ANDREW CARD, JR. DAVID DEMAREST ROGER PORTER MARLIN FITZWATER STEPHEN STUDDERT FREDERICK MCCLURE RICHARD BREEDEN J. BONNIE NEWMAN DAVID BATES x__ BRENT SCOWCROFT CHASE UNTERMEYER x__ C. BOYDEN GRAY — FROM: JOSEPH W. HAGIN II PRESIDENTIAL",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00196, CF00196-020, Latin America - General - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00196-020.pdf#page=76,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00196-020.pdf,https://catalog.archives.gov/id/470766606
High,72,,"howaney 24, 1989",Memorandum,,From: JOSEPH W. HAGIN II,Latin American Affairs Directorate Subject Files,CF00196-020,"Latin America - General - January 20, 1989-December 31, 1989 [1]",470766606,24,,ocr-document-start,"Latin America; presidential diplomacy; regional policy","memorandum form; Presidential or NSC principals; Latin America, presidential diplomacy, regional policy; document text visible in OCR","APPOINT.2NT O) SCHEDULE ~ THE WHITE HOUSE ? \ WASHINGTON * RESPONSE DUE DATE: howaney 24, 1989 REQUEST FOR SCHEDULING RECOMMENDATION MEMORANDUM FOR: GOVERNOR SUNUNU JAMES CICCONI ANDREW CARD, JR. DAVID DEMAREST ROGER PORTER MARLIN FITZWATER STEPHEN STUDDERT FREDERICK MCCLURE RICHARD BREEDEN J. BONNIE NEWMAN a DAVID BATES x __ BRENT SCOWCROFT CHASE UNTERMEYER x __ C. BOYDEN GRAY — FROM: JOSEPH W. HAGIN II PRESIDENTIAL",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00196, CF00196-020, Latin America - General - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00196-020.pdf#page=24,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00196-020.pdf,https://catalog.archives.gov/id/470766606
High,72,Chile,"January 24, 1989",Memorandum,,Appointment of Octavio Errazuriz Guilisasti of the,Latin American Directorate Chronological Files,CF00300-004,"January 20, 1989-February 1, 1989 [2]",470766405,3,,ocr-document-start,presidential diplomacy,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","NATIONAL SECURITY COUNCIL WASHINGTON, D.C. 20506 January 24, 1989 71H NOU ACTION MEMORANDUM FOR ROBERT M. PERITO THROUGH: ROBERT S. STORINO FROM: CLARKE M. covenanna M) SUBJECT: Appointment of Octavio Errazuriz Guilisasti of the Republic of Chile as Ambassador to the United States By the Levitsky-Scowcroft memo at Tab II, State recommends that the President agree to the appointment of Octavio Errazuriz Guilisasti as",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-004, January 20, 1989-February 1, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-004.pdf#page=3,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-004.pdf,https://catalog.archives.gov/id/470766405
High,72,Chile,"January 24, 1989",Memorandum,,Appointment of Octavio Errazuriz Guilisasti of the,Latin American Affairs Directorate Subject Files,CF00195-005,"Chile - January 20, 1989-December 31, 1989",470766562,76,,ocr-document-start,presidential diplomacy,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","0037 NATIONAL SECURITY COUNCIL * WASHINGTON, D.C. 20506 January 24, 1989 ACTION MEMORANDUM FOR ROBERT M. PERITO THROUGH: ROBERT 8. FROM: CLARKE M. SUBJECT: Appointment of Octavio Errazuriz Guilisasti of the ‘ Republic of Chile as Ambassador to the United States By the Levitsky-Scowcroft memo at Tab II, State recommends that the President agree to the appointment of Octavio Errazuriz Guilisasti as Ambassador Extraordi",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-005, Chile - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2004-0731-F.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf#page=76,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf,https://catalog.archives.gov/id/470766562
High,72,Argentina,"January 24, 1989",Memorandum of Conversation,,Memorandum of Conversation Between the President,Latin American Affairs Directorate Subject Files,CF00189-008,"Argentina - January 20, 1989-December 31, 1989 [4]",470766481,107,,ocr-document-start,presidential diplomacy,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","CONFIDENTIAL CONFIDENTIAL™ NATIONAL SECURITY COUNCIL WASHINGTON, D.C. 20506 January 24, 1989 ACTION MEMORANDUM FOR BRENT I ee FROM: ROBERT S. astorrNo WY SUBJECT: Memorandum of Conversation Between the President and Argentine President Alfonsin Attached at Tab I is a memorandum of the telephone conversation between the President and Argentine President Alfonsin on January 23, 1989. Recommendation That you approve the",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-008, Argentina - January 20, 1989-December 31, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-008.pdf#page=107,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-008.pdf,https://catalog.archives.gov/id/470766481
High,72,Venezuela,"January 25, 1989",Memorandum of Conversation,,Memorandum of Conversation Between the President,Latin American Directorate Chronological Files,CF00300-003,"January 20, 1989-February 1, 1989 [1]",470766404,44,,ocr-document-start,presidential diplomacy,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","CONFTDEND TAL 0091 NATIONAL SECURITY COUNCIL WASHINGTON, D.C. 20506 January 25, 1989 CHRON FILE ACTION | | | MEMORANDUM FOR BRENT SCOWCROFT | | | THROUGH: ROBERT S.\PASTORINO FROM: CLARKE BRINTNALL and SUBJECT: Memorandum of Conversation Between the President and President-Elect Carlos Andres Perez of Venezuela, January 24, 1989 Attached at Tab I is a memorandum of the telephone conversation between the President and",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-003, January 20, 1989-February 1, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-003.pdf#page=44,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-003.pdf,https://catalog.archives.gov/id/470766404
High,72,Venezuela,"January 25, 1989",Memorandum of Conversation,,Memorandum of Conversation Between the President,Latin American Affairs Directorate Subject Files,CF00193-019,"Venezuela - January 20, 1989-December 31, 1989 [2]",470766534,136,,ocr-document-start,presidential diplomacy,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","CONE TDENTTAB 0091 NATIONAL SECURITY COUNCIL é WASHINGTON, D.C. 20506 Qasr TR January 25, 1989 ACTION MEMORANDUM FOR BRENT “s Was THROUGH: ROBERT S. \PASTORINO FROM: CLARKE BRINTNALL and SUBJECT: Memorandum of Conversation Between the President and President-Elect Carlos Andres Perez of Venezuela, January 24, 1989 Attached at Tab I is a memorandum of the telephone conversation between the President and President-Elec",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-019, Venezuela - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2009-0704-F.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf#page=136,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf,https://catalog.archives.gov/id/470766534
High,72,Venezuela,"January 28, 1989",Memorandum,,Letters from the President to Jaime Lusinchi and,Latin American Directorate Chronological Files,CF00300-003,"January 20, 1989-February 1, 1989 [1]",470766404,33,,ocr-document-start,"presidential diplomacy; regional policy","memorandum form; Presidential or NSC principals; presidential diplomacy, regional policy; document text visible in OCR","S/S 8901460 United States Department of State 0A Washington, D.C. 20520 - January 28, 1989 MEMORANDUM FOR BRENT SCOWCROFT THE WHITE HOUSE Subject: Letters from the President to Jaime Lusinchi and Carlos Andres Perez of Venezuela and Jose Napoleon Duarte of El Salvador To demonstrate the President's personal interest in the Vice President's visit next week to Latin America, we are transmitting for your review and appr",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-003, January 20, 1989-February 1, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-003.pdf#page=33,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-003.pdf,https://catalog.archives.gov/id/470766404
