sort_date,display_date,volume_date_scope,countries,primary_chapter_country,record_class,document_type,title,subject_or_context,priority_or_status,score,page_count_or_range,source_collection,source_series,source_folder_or_title,local_identifier,naid_or_folder_naid,source_note,provenance_note,review_note,pdf_url,catalog_or_details_url,page_link,record_id
1989-03-09,"March 9, 1989",Volume date range,Argentina,Argentina,Print-candidate lead,Memorandum,Neil Bush Trip to Argentina,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR",Medium,60,54,George H.W. Bush Library,Latin American Affairs Directorate Subject Files,"Argentina - January 20, 1989-December 31, 1989 [4]",CF00189-008,470766481,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-008, Argentina - January 20, 1989-December 31, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-008.pdf,https://catalog.archives.gov/id/470766481,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-008.pdf#page=54,subject-print-470766481-54-memorandum
1989-03-09,1989-03-09,Volume date range,"Bolivia; Colombia; Peru",Bolivia,Public statement,Remarks,"Remarks to Drug Enforcement Administration Officers in New York, New York",", the Attorney Gener be. Ladies and gentlemen, we do intend to al [Richard L. Thornburgh], returns today prevail. The scourge will end. I will lead from meetings with officials in Colombia, the fight. Bill Bennett, our nation's first Bolivia, and Peru. And Bill and I will meet drug czar-tenacious, unafraid-is going to with him as soon as he gets back. I think be right there at my side. we're having lunch tomorrow at the White And although we meet on a crucial bat House to be briefed on this trip. And I tlefield of this war, you might",,,198-201,Public Papers of the Presidents of the United States: George H. W. Bush,"1989, Book I",PPP-1989-book1,,,"Source: Public Papers of the Presidents of the United States: George H. W. Bush, 1989, Book I, March 9, 1989, ""Remarks to Drug Enforcement Administration Officers in New York, New York"", pp. 198-201. GovInfo, Government Publishing Office.",,"Public line/reference evidence; compare against private record and final source-note context.",https://www.govinfo.gov/content/pkg/PPP-1989-book1/pdf/PPP-1989-book1.pdf,https://www.govinfo.gov/app/details/PPP-1989-book1,https://www.govinfo.gov/content/pkg/PPP-1989-book1/pdf/PPP-1989-book1.pdf#page=216,govinfo-ppp-1989-book1-216-remarks-to-drug-enforcement-administration-officers-in-new-york-new-york
1989-03-09,"March 9, 1989",Volume date range,Colombia,Colombia,Print-candidate lead,Memorandum,President’s Telephone Call to Colombian President,"memorandum form; Presidential or NSC principals; democracy, presidential diplomacy, regional policy; document text visible in OCR",High,78,57,George H.W. Bush Library,Latin American Affairs Directorate Subject Files,"Colombia - January 20, 1989-December 31, 1989 [4]",CF00195-010,470766567,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-010, Colombia - January 20, 1989-December 31, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2001-0434-F.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-010.pdf,https://catalog.archives.gov/id/470766567,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-010.pdf#page=57,subject-print-470766567-57-memorandum
1989-03-09,"March 9, 1989",Volume date range,Colombia,Colombia,Print-candidate lead,Memorandum,Presidential Telephone Call to President Barco,"memorandum form; Presidential or NSC principals; democracy, presidential diplomacy, ussr/cuba; document text visible in OCR",High,78,63,George H.W. Bush Library,Latin American Affairs Directorate Subject Files,"Colombia - January 20, 1989-December 31, 1989 [4]",CF00195-010,470766567,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-010, Colombia - January 20, 1989-December 31, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2001-0434-F.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-010.pdf,https://catalog.archives.gov/id/470766567,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-010.pdf#page=63,subject-print-470766567-63-memorandum
1989-03-10,3/10/1989,Volume date range,"Bolivia; Colombia; Peru",Bolivia,Daily diary/backup reference,Presidential Daily Backup,[Presidential Daily Backup] 3/10/1989,Catalog search lead,Restricted - Possibly,,,White House Office of Appointments and Scheduling Files,Presidential Daily Diary and Presidential Daily Backup Materials,[Presidential Daily Backup] 3/10/1989,12792-010,415889697,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 3/10/1989. Access restriction: Restricted - Possibly.",,"Schedule/supporting-materials evidence; use to confirm timing, calls, meetings, and backup packets.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_10_89-12792-010_415889697.pdf,https://catalog.archives.gov/id/415889697,,daily-diary-415889697
1989-03-10,"MARCH 10, 1989",Volume date range,Brazil,Brazil,Print-candidate lead,Action Memo,WRITES REGARDING DISCUSSIONS WITH JAPANESE,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR",High,72,15,George H.W. Bush Library,Latin American Affairs Directorate Subject Files,"Brazil - January 20, 1989-December 31, 1989 [2]",CF00189-014,470766487,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-014, Brazil - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2004-0734-F.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-014.pdf,https://catalog.archives.gov/id/470766487,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-014.pdf#page=15,subject-print-470766487-15-action-memo
1989-03-10,"March 10, 1989",Volume date range,,Regional/No single country,Print-candidate lead,Memorandum,Reply to Letter from General Wickham,"memorandum form; Presidential or NSC principals; narcotics, drug, presidential diplomacy; document text visible in OCR",High,90,18,George H.W. Bush Library,Latin American Affairs Directorate Subject Files,"Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [4]",CF00194-016,470766553,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00194, CF00194-016, Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-016.pdf,https://catalog.archives.gov/id/470766553,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-016.pdf#page=18,subject-print-470766553-18-memorandum
1989-03-13,3/13/1989,Volume date range,Brazil,Brazil,Daily diary/backup reference,Presidential Daily Backup,[Presidential Daily Backup] 3/13/1989,Catalog search lead,Restricted - Possibly,,,White House Office of Appointments and Scheduling Files,Presidential Daily Diary and Presidential Daily Backup Materials,[Presidential Daily Backup] 3/13/1989,12792-016,415889703,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 3/13/1989. Access restriction: Restricted - Possibly.",,"Schedule/supporting-materials evidence; use to confirm timing, calls, meetings, and backup packets.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_13_89-12792-016_415889703.pdf,https://catalog.archives.gov/id/415889703,,daily-diary-415889703
1989-03-14,"March 14, 1989",Volume date range,Ecuador,Ecuador,Print-candidate lead,Memorandum,Request by Mrs. Borja for Meeting with Mrs. Bush,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR",High,72,59,George H.W. Bush Library,Latin American Directorate Chronological Files,"March 1, 1989-March 16, 1989 [1]",CF00300-010,470766411,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-010, March 1, 1989-March 16, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-010.pdf,https://catalog.archives.gov/id/470766411,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-010.pdf#page=59,chronological-print-470766411-59-memorandum
1989-03-14,3/14/1989,Volume date range,Uruguay,Uruguay,Daily diary/backup reference,Presidential Daily Backup,[Presidential Daily Backup] 3/14/1989,Catalog search lead,Restricted - Possibly,,,White House Office of Appointments and Scheduling Files,Presidential Daily Diary and Presidential Daily Backup Materials,[Presidential Daily Backup] 3/14/1989,12792-018,415889705,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 3/14/1989. Access restriction: Restricted - Possibly.",,"Schedule/supporting-materials evidence; use to confirm timing, calls, meetings, and backup packets.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_14_89-12792-018_415889705.pdf,https://catalog.archives.gov/id/415889705,,daily-diary-415889705
1989-03-15,"March 15, 1989",Volume date range,Venezuela,Venezuela,Print-candidate lead,Memorandum,Carlos Andres Perez Request for Two-Hour Meeting,"memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy, panama spillover; document text visible in OCR",High,90,43,George H.W. Bush Library,Latin American Directorate Chronological Files,"March 1, 1989-March 16, 1989 [1]",CF00300-010,470766411,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-010, March 1, 1989-March 16, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-010.pdf,https://catalog.archives.gov/id/470766411,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-010.pdf#page=43,chronological-print-470766411-43-memorandum
1989-03-15,"March 15, 1989",Volume date range,Venezuela,Venezuela,Print-candidate lead,Memorandum,Carlos Andres Perez Request for Two-Hour Meeting,"memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy, panama spillover; document text visible in OCR",High,90,87,George H.W. Bush Library,Latin American Affairs Directorate Subject Files,"Venezuela - January 20, 1989-December 31, 1989 [2]",CF00193-019,470766534,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-019, Venezuela - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2009-0704-F.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf,https://catalog.archives.gov/id/470766534,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf#page=87,subject-print-470766534-87-memorandum
1989-03-16,"March 16, 1989",Volume date range,Ecuador,Ecuador,Print-candidate lead,Memorandum,Request by Mrs. Borja for Meeting with Mrs. Bush,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR",High,72,10,George H.W. Bush Library,Latin American Directorate Chronological Files,"March 1, 1989-March 16, 1989 [1]",CF00300-010,470766411,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-010, March 1, 1989-March 16, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-010.pdf,https://catalog.archives.gov/id/470766411,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-010.pdf#page=10,chronological-print-470766411-10-memorandum
1989-03-16,03/16/89,Volume date range,Venezuela,Venezuela,Print-candidate lead,Report,Government report [double-sided].,"presidential diplomacy; identified on withdrawal sheet",Medium,45,15,George H.W. Bush Library,Latin American Affairs Directorate Subject Files,[Briefing Material for POTUS Meeting with Venezuelan President Carlos Andres Perez 4/89] [loose],CF00193-022,470766537,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-022, [Briefing Material for POTUS Meeting with Venezuelan President Carlos Andres Perez 4/89] [loose]. Access restriction: Restricted - Possibly. FOIA 2009-0704-F.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-022.pdf,https://catalog.archives.gov/id/470766537,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-022.pdf#page=15,subject-print-470766537-15-09
1989-03-17,1989-03-17,Volume date range,Argentina,Argentina,Public statement,Nomination,Nomination of Terence A. Todman To Be United States Ambassador to Argentina,"Nomination of Terence A. Todman To Be United States Ambassador to Argentina March 17, 1989 The President today announced his inten 1978. He was also Ambassador to Costa tion to nominate Terence A. Todman to be Rica, 1974-1977; Ambassador to Guinea, Ambassador Extraordinary and Plenipoten 1972-1974; and Ambassador to the Repub tiary of the United States of America to lic of Chad, 1969-1972. He is a career Argentina. He woul",,,264-265,Public Papers of the Presidents of the United States: George H. W. Bush,"1989, Book I",PPP-1989-book1,,,"Source: Public Papers of the Presidents of the United States: George H. W. Bush, 1989, Book I, March 17, 1989, ""Nomination of Terence A. Todman To Be United States Ambassador to Argentina"", pp. 264-265. GovInfo, Government Publishing Office.",,"Public line/reference evidence; compare against private record and final source-note context.",https://www.govinfo.gov/content/pkg/PPP-1989-book1/pdf/PPP-1989-book1.pdf,https://www.govinfo.gov/app/details/PPP-1989-book1,https://www.govinfo.gov/content/pkg/PPP-1989-book1/pdf/PPP-1989-book1.pdf#page=282,govinfo-ppp-1989-book1-282-nomination-of-terence-a-todman-to-be-united-states-ambassador-to-argentina
1989-03-17,3/17/1989,Volume date range,Chile,Chile,Daily diary/backup reference,Presidential Daily Backup,[Presidential Daily Backup] 3/17/1989,Catalog search lead,Restricted - Possibly,,,White House Office of Appointments and Scheduling Files,Presidential Daily Diary and Presidential Daily Backup Materials,[Presidential Daily Backup] 3/17/1989,12792-024,415889711,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 3/17/1989. Access restriction: Restricted - Possibly.",,"Schedule/supporting-materials evidence; use to confirm timing, calls, meetings, and backup packets.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_17_89-12792-024_415889711.pdf,https://catalog.archives.gov/id/415889711,,daily-diary-415889711
1989-03-17,1989-03-17,Volume date range,Chile,Chile,Public statement,News Conference,The President's News Conference,". number of about 25 other weapons along Terrorism with what Secretary Brady----- Q. Let me ask you a question. Have you The President. They've not discussed that decided that the Chilean grapes and fruit with me. ought to now start coming in? Q. Do you think the temperature of the The President. I was told that we're going national debate over assault weapons has to lighten up on that, and I think that's fine. gotten too hot, or do you think----- Q. Do you think that restricting all those The President. Yes, a little bit. fruit impor",,,256-262,Public Papers of the Presidents of the United States: George H. W. Bush,"1989, Book I",PPP-1989-book1,,,"Source: Public Papers of the Presidents of the United States: George H. W. Bush, 1989, Book I, March 17, 1989, ""The President's News Conference"", pp. 256-262. GovInfo, Government Publishing Office.",,"Public line/reference evidence; compare against private record and final source-note context.",https://www.govinfo.gov/content/pkg/PPP-1989-book1/pdf/PPP-1989-book1.pdf,https://www.govinfo.gov/app/details/PPP-1989-book1,https://www.govinfo.gov/content/pkg/PPP-1989-book1/pdf/PPP-1989-book1.pdf#page=274,govinfo-ppp-1989-book1-274-the-president-s-news-conference
1989-03-18,"March 18, 1989",Volume date range,Venezuela,Venezuela,Print-candidate lead,Memorandum,Appointment of Simon Alberto CONSALVI Bottaro of,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR",Medium,60,59,George H.W. Bush Library,Latin American Directorate Chronological Files,"March 17, 1989-March 31, 1989 [3]",CF00300-016,470766417,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-016, March 17, 1989-March 31, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-016.pdf,https://catalog.archives.gov/id/470766417,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-016.pdf#page=59,chronological-print-470766417-59-memorandum
1989-03-18,"March 18, 1989",Volume date range,Venezuela,Venezuela,Print-candidate lead,Memorandum,Appointment of Simon Alberto CONSALVI Bottaro of,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR",Medium,60,82,George H.W. Bush Library,Latin American Affairs Directorate Subject Files,"Venezuela - January 20, 1989-December 31, 1989 [2]",CF00193-019,470766534,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-019, Venezuela - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2009-0704-F.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf,https://catalog.archives.gov/id/470766534,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf#page=82,subject-print-470766534-82-memorandum
1989-03-21,"March 21, 1989",Volume date range,Venezuela,Venezuela,Print-candidate lead,Memorandum,Another Perez Request for Meeting with President,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR",High,72,29,George H.W. Bush Library,Latin American Directorate Chronological Files,"March 17, 1989-March 31, 1989 [3]",CF00300-016,470766417,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-016, March 17, 1989-March 31, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-016.pdf,https://catalog.archives.gov/id/470766417,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-016.pdf#page=29,chronological-print-470766417-29-memorandum
1989-03-21,"March 21, 1989",Volume date range,Venezuela,Venezuela,Print-candidate lead,Memorandum,Another Perez Request for Meeting with President,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR",High,72,71,George H.W. Bush Library,Latin American Affairs Directorate Subject Files,"Venezuela - January 20, 1989-December 31, 1989 [2]",CF00193-019,470766534,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-019, Venezuela - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2009-0704-F.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf,https://catalog.archives.gov/id/470766534,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf#page=71,subject-print-470766534-71-memorandum
1989-03-21,"March 21, 1989",Volume date range,Venezuela,Venezuela,Print-candidate lead,Memorandum,Appointmen f Simon Alberto Consalvi Bottaro of,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR",High,72,57,George H.W. Bush Library,Latin American Directorate Chronological Files,"March 17, 1989-March 31, 1989 [3]",CF00300-016,470766417,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-016, March 17, 1989-March 31, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-016.pdf,https://catalog.archives.gov/id/470766417,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-016.pdf#page=57,chronological-print-470766417-57-memorandum
1989-03-21,"March 21, 1989",Volume date range,Venezuela,Venezuela,Print-candidate lead,Memorandum,Appointment of Simon Alberto Consalvi Bottaro of,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR",High,72,80,George H.W. Bush Library,Latin American Affairs Directorate Subject Files,"Venezuela - January 20, 1989-December 31, 1989 [2]",CF00193-019,470766534,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-019, Venezuela - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2009-0704-F.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf,https://catalog.archives.gov/id/470766534,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf#page=80,subject-print-470766534-80-memorandum
1989-03-21,"March 21, 1989",Volume date range,Venezuela,Venezuela,Print-candidate lead,Memorandum,Appointmentjof Simon Alberto Consalvi Bottaro of,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR",High,72,81,George H.W. Bush Library,Latin American Affairs Directorate Subject Files,"Venezuela - January 20, 1989-December 31, 1989 [2]",CF00193-019,470766534,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-019, Venezuela - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2009-0704-F.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf,https://catalog.archives.gov/id/470766534,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf#page=81,subject-print-470766534-81-memorandum
