queue_order,action_type,urgency,country,country_risk_score,private_record_count,high_priority_print_candidates,date,document_type,title,source_series,source_folder,priority,score,release_or_access_status,page_count_or_range,evidence,recommended_action,source_note,pdf_url,catalog_url
3905,High-priority print candidate,Critical,"Bolivia; Colombia; Peru",95,4,47,"October 30, 1989",Memorandum,Telephone Call to Colombian President,Latin American Affairs Directorate Subject Files,"Colombia - January 20, 1989-December 31, 1989 [1]",High,90,Restricted - Possibly,84,"memorandum form; Presidential or NSC principals; narcotics, presidential diplomacy, regional policy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-007, Colombia - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2001-0434-F.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-007.pdf,https://catalog.archives.gov/id/470766564
3905,High-priority print candidate,Critical,"Bolivia; Colombia; Peru",95,4,47,"September 16, 1989",Memorandum,Meeting with President Bush for the Chiefs of Mission,Latin American Directorate Chronological Files,"September 16, 1989-September 30, 1989 [4]",High,90,Restricted - Possibly,82,"memorandum form; Presidential or NSC principals; narcotics, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-020, September 16, 1989-September 30, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-020.pdf,https://catalog.archives.gov/id/470766457
3905,High-priority print candidate,Critical,"Bolivia; Colombia; Peru",95,4,47,"September 18, 1989",Memorandum,Request for Meeting with the President for U.S.,Latin American Directorate Chronological Files,"September 16, 1989-September 30, 1989 [4]",High,90,Restricted - Possibly,76,"memorandum form; Presidential or NSC principals; narcotics, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-020, September 16, 1989-September 30, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-020.pdf,https://catalog.archives.gov/id/470766457
3905,High-priority print candidate,Critical,"Bolivia; Colombia; Peru",95,4,47,"September 18, 1989",Memorandum,Request for Meeting with the President for U.S.,Latin American Affairs Directorate Subject Files,"Colombia - January 20, 1989-December 31, 1989 [3]",High,90,Restricted - Possibly,49,"memorandum form; Presidential or NSC principals; narcotics, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-009, Colombia - January 20, 1989-December 31, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2001-0434-F.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-009.pdf,https://catalog.archives.gov/id/470766566
3905,High-priority print candidate,Critical,Chile,95,3,32,,Memorandum,"; Request by Amb Gillespie",Latin American Directorate Chronological Files,"March 1, 1989-March 16, 1989 [4]",High,72,Restricted - Possibly,53,"memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-013, March 1, 1989-March 16, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-013.pdf,https://catalog.archives.gov/id/470766414
3905,High-priority print candidate,Critical,Chile,95,3,32,,Memorandum,Appointment of Octavio Errazuriz Guilisasti of the,Latin American Directorate Chronological Files,"January 20, 1989-February 1, 1989 [2]",High,72,Restricted - Possibly,4,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-004, January 20, 1989-February 1, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-004.pdf,https://catalog.archives.gov/id/470766405
3905,High-priority print candidate,Critical,Chile,95,3,32,,Memorandum,REQ. BY CHILEAN FM FOR MEETING,Latin American Directorate Chronological Files,"March 1, 1989-March 16, 1989 [1]",High,72,Restricted - Possibly,34,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-010, March 1, 1989-March 16, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-010.pdf,https://catalog.archives.gov/id/470766411
3905,High-priority print candidate,Critical,Chile,95,3,32,,Memorandum,Request by Amb Gillespie,Latin American Directorate Chronological Files,"February 1, 1989-March 1, 1989 [3]",High,72,Restricted - Possibly,6,"memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-007, February 1, 1989-March 1, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-007.pdf,https://catalog.archives.gov/id/470766408
3905,High-priority print candidate,Critical,Chile,95,3,32,,Memorandum,Request by Amb Gillespie,Latin American Affairs Directorate Subject Files,"Chile - January 20, 1989-December 31, 1989",High,72,Restricted - Possibly,71,"memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-005, Chile - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2004-0731-F.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf,https://catalog.archives.gov/id/470766562
3905,High-priority print candidate,Critical,Chile,95,3,32,,Memorandum,Request by U.S. Ambassador to Chile Charles,Latin American Directorate Chronological Files,"June 1, 1989-June 30, 1989 [4]",High,70,Restricted - Possibly,32,"memorandum form; democracy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00301, CF00301-019, June 1, 1989-June 30, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-019.pdf,https://catalog.archives.gov/id/470766436
3905,High-priority print candidate,Critical,Chile,95,3,32,,Talking Points,TALKING POINTS FOR PRESIDENT IN PUBLIC PORTION OF MEETING WITH JACEK KURON AND MONICA JIMENEZ DE BARROS -- It is an honor to welcome to the White House today two,Latin American Affairs Directorate Subject Files,"Chile - January 20, 1989-December 31, 1989",High,90,Restricted - Possibly,46,"Presidential or NSC principals; democracy, debt and economy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-005, Chile - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2004-0731-F.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf,https://catalog.archives.gov/id/470766562
3905,High-priority print candidate,Critical,Chile,95,3,32,,Talking Points,TALKING POINTS FOR THE PRESIDENT'S INAUGURATION OF THE PRESIDENTIAL ELECTION MONITORING COMMISSION,Latin American Directorate Chronological Files,"September 16, 1989-September 30, 1989 [2]",High,78,Restricted - Possibly,91,"Presidential or NSC principals; democracy, presidential diplomacy, panama spillover; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-018, September 16, 1989-September 30, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-018.pdf,https://catalog.archives.gov/id/470766455
3905,High-priority print candidate,Critical,Chile,95,3,32,,Talking Points,TALKING POINTS TO BE MADE WITH CHILBAN FOREIGN MINISTER HERNAN FELIPE ERRAZURIZ CORREA -- We have a keen interest that the upcoming elections in Chile,Latin American Affairs Directorate Subject Files,"Chile - January 20, 1989-December 31, 1989",High,78,Restricted - Possibly,16,"Presidential or NSC principals; democracy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-005, Chile - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2004-0731-F.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf,https://catalog.archives.gov/id/470766562
3905,High-priority print candidate,Critical,Chile,95,3,32,,Talking Points,TALKING POINTS TO BE MADE WITH CHTLEAN FOREIGN MINISTER HERNAN FELIPE ERRAZURIZ CORREA We have a keen interest that the upcoming elections in Chile,Latin American Directorate Chronological Files,"November 1, 1989-November 15, 1989 [1]",High,78,Restricted - Possibly,32,"Presidential or NSC principals; democracy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00303, CF00303-009, November 1, 1989-November 15, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00303-009.pdf,https://catalog.archives.gov/id/470766466
3905,High-priority print candidate,Critical,Chile,95,3,32,,Memorandum,To: Diane Edwards/Florence Gantt From: Deborah,Latin American Directorate Chronological Files,"March 1, 1989-March 16, 1989 [1]",High,72,Restricted - Possibly,2,"memorandum form; presidential diplomacy; identified on withdrawal sheet","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-010, March 1, 1989-March 16, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-010.pdf,https://catalog.archives.gov/id/470766411
3905,High-priority print candidate,Critical,Chile,95,3,32,"August 18, 1989",Memorandum,Request That You Meet with the Chilean Chief of,Latin American Directorate Chronological Files,"August 16, 1989-August 31, 1989 [3]",High,90,Restricted - Possibly,54,"memorandum form; Presidential or NSC principals; democracy, presidential diplomacy, ussr/cuba; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-013, August 16, 1989-August 31, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-013.pdf,https://catalog.archives.gov/id/470766450
3905,High-priority print candidate,Critical,Chile,95,3,32,"August 18, 1989",Memorandum,Request That You Meet with the Chilean Chief of,Latin American Affairs Directorate Subject Files,"Chile - January 20, 1989-December 31, 1989",High,90,Restricted - Possibly,29,"memorandum form; Presidential or NSC principals; democracy, presidential diplomacy, ussr/cuba; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-005, Chile - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2004-0731-F.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf,https://catalog.archives.gov/id/470766562
3905,High-priority print candidate,Critical,Chile,95,3,32,CONEERENIES,Memorandum,Guidance for Ambassador Gillespie,Latin American Affairs Directorate Subject Files,"Chile - January 20, 1989-December 31, 1989",High,72,Restricted - Possibly,69,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-005, Chile - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2004-0731-F.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf,https://catalog.archives.gov/id/470766562
3905,High-priority print candidate,Critical,Chile,95,3,32,"February 17, 1989",Memorandum,Chile Policy,Latin American Directorate Chronological Files,"February 1, 1989-March 1, 1989 [3]",High,78,Restricted - Possibly,5,"memorandum form; democracy, debt and economy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-007, February 1, 1989-March 1, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-007.pdf,https://catalog.archives.gov/id/470766408
3905,High-priority print candidate,Critical,Chile,95,3,32,"February 17, 1989",Memorandum,Chile Policy,Latin American Directorate Chronological Files,"March 1, 1989-March 16, 1989 [4]",High,78,Restricted - Possibly,52,"memorandum form; democracy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-013, March 1, 1989-March 16, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-013.pdf,https://catalog.archives.gov/id/470766414
3905,High-priority print candidate,Critical,Chile,95,3,32,"February 17, 1989",Memorandum,Chile Policy,Latin American Affairs Directorate Subject Files,"Chile - January 20, 1989-December 31, 1989",High,78,Restricted - Possibly,70,"memorandum form; Presidential or NSC principals; democracy, debt and economy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-005, Chile - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2004-0731-F.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf,https://catalog.archives.gov/id/470766562
3905,High-priority print candidate,Critical,Chile,95,3,32,"February 3, 1989",Information Memo,"Your ecting with US Ambassador to Chile,",Latin American Directorate Chronological Files,"February 1, 1989-March 1, 1989 [5]",High,78,Restricted - Possibly,34,"memorandum form; Presidential or NSC principals; democracy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-009, February 1, 1989-March 1, 1989 [5]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-009.pdf,https://catalog.archives.gov/id/470766410
3905,High-priority print candidate,Critical,Chile,95,3,32,"January 24, 1989",Memorandum,Appointment of Octavio Errazuriz Guilisasti of the,Latin American Directorate Chronological Files,"January 20, 1989-February 1, 1989 [2]",High,72,Restricted - Possibly,3,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-004, January 20, 1989-February 1, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-004.pdf,https://catalog.archives.gov/id/470766405
3905,High-priority print candidate,Critical,Chile,95,3,32,"January 24, 1989",Memorandum,Appointment of Octavio Errazuriz Guilisasti of the,Latin American Affairs Directorate Subject Files,"Chile - January 20, 1989-December 31, 1989",High,72,Restricted - Possibly,76,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-005, Chile - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2004-0731-F.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf,https://catalog.archives.gov/id/470766562
3905,High-priority print candidate,Critical,Chile,95,3,32,"June 9, 1989",Memorandum,— Request by U.S. Ambassador to Chile Charles,Latin American Affairs Directorate Subject Files,"Chile - January 20, 1989-December 31, 1989",High,70,Restricted - Possibly,37,"memorandum form; democracy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-005, Chile - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2004-0731-F.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf,https://catalog.archives.gov/id/470766562
3905,High-priority print candidate,Critical,Chile,95,3,32,"March 2, 1989",Memorandum,Guidance for Ambassador Gillespie,Latin American Directorate Chronological Files,"March 1, 1989-March 16, 1989 [4]",High,72,Restricted - Possibly,50,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-013, March 1, 1989-March 16, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-013.pdf,https://catalog.archives.gov/id/470766414
3905,High-priority print candidate,Critical,Chile,95,3,32,"March 3, 1989",Memorandum,Guidance for Ambassador Gillespie (U),Latin American Affairs Directorate Subject Files,"Chile - January 20, 1989-December 31, 1989",High,90,Restricted - Possibly,68,"memorandum form; Presidential or NSC principals; democracy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-005, Chile - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2004-0731-F.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf,https://catalog.archives.gov/id/470766562
3905,High-priority print candidate,Critical,Chile,95,3,32,"March 6, 1989",Memorandum,Guidance for Ambassador Gillespie (U),Latin American Directorate Chronological Files,"March 1, 1989-March 16, 1989 [4]",High,90,Restricted - Possibly,51,"memorandum form; Presidential or NSC principals; democracy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-013, March 1, 1989-March 16, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-013.pdf,https://catalog.archives.gov/id/470766414
3905,High-priority print candidate,Critical,Chile,95,3,32,"May 2, 1989",Memorandum,"President’s Meeting with Kuron and Jimenez,",Latin American Affairs Directorate Subject Files,"Chile - January 20, 1989-December 31, 1989",High,72,Restricted - Possibly,43,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-005, Chile - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2004-0731-F.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf,https://catalog.archives.gov/id/470766562
3905,High-priority print candidate,Critical,Chile,95,3,32,"May 3, 1989",Memorandum,Request by Ambassador Gillespie for Meeting With,Latin American Directorate Chronological Files,"May 1, 1989-May 15, 1989 [3]",High,90,Restricted - Possibly,98,"memorandum form; Presidential or NSC principals; democracy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00301, CF00301-012, May 1, 1989-May 15, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-012.pdf,https://catalog.archives.gov/id/470766429
3905,High-priority print candidate,Critical,Chile,95,3,32,"May 3, 1989",Memorandum,Request by Ambassador Gillespie for Meeting With,Latin American Affairs Directorate Subject Files,"Chile - January 20, 1989-December 31, 1989",High,90,Restricted - Possibly,42,"memorandum form; Presidential or NSC principals; democracy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-005, Chile - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2004-0731-F.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf,https://catalog.archives.gov/id/470766562
