source_note_status,source_note_review_flags,compiler_action,record_class,primary_chapter_country,countries,sort_date,display_date,volume_date_scope,document_type,title,source_note_model,source_note,provenance_note,repository,record_group_or_collection,office_or_collection,series,subseries_or_file_group,oa_or_local_identifier,folder_or_source_title,record_naid,series_or_folder_naid,page_count_or_range,release_or_access_status,foia_or_processing,pdf_url,catalog_or_details_url,page_link,record_id
FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate","Verify OCR, page image, document boundaries, date, and folder provenance before printing.",Print-candidate lead,Brazil,Brazil,1989-05-17,"May 17, 1989",Volume date range,Memorandum of Telephone Conversation,Telephone Call from President Bush to,FRUS Volume XXXI Bush-document source-note model,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00301, CF00301-014, May 16, 1989-May 30, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,George H.W. Bush Library,Bush Presidential Records,National Security Council,Latin American Directorate Chronological Files,"Latin American Affairs Directorate Files, Chronological Files",CF00301-014,"May 16, 1989-May 30, 1989 [2]",,470766431,91,Restricted - Possibly,2015-0017-S,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-014.pdf,https://catalog.archives.gov/id/470766431,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-014.pdf#page=91,chronological-print-470766431-91-memorandum-of-telephone-conversation
FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate","Verify OCR, page image, document boundaries, date, and folder provenance before printing.",Print-candidate lead,Brazil,Brazil,1989-05-17,"May 17, 1989",Volume date range,Memorandum of Telephone Conversation,Telephone Call from President Bush to,FRUS Volume XXXI Bush-document source-note model,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-013, Brazil - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2004-0734-F.",,George H.W. Bush Library,Bush Presidential Records,National Security Council,Latin American Affairs Directorate Subject Files,"Latin American Affairs Directorate Files, Subject File 1989",CF00189-013,"Brazil - January 20, 1989-December 31, 1989 [1]",,470766486,136,Restricted - Possibly,2004-0734-F,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-013.pdf,https://catalog.archives.gov/id/470766486,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-013.pdf#page=136,subject-print-470766486-136-memorandum-of-telephone-conversation
FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate","Verify OCR, page image, document boundaries, date, and folder provenance before printing.",Print-candidate lead,Brazil,Brazil,1989-05-19,"May 19, 1989",Volume date range,Memorandum of Conversation,NATIONAL SECURITY COUNCIL,FRUS Volume XXXI Bush-document source-note model,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-013, Brazil - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2004-0734-F.",,George H.W. Bush Library,Bush Presidential Records,National Security Council,Latin American Affairs Directorate Subject Files,"Latin American Affairs Directorate Files, Subject File 1989",CF00189-013,"Brazil - January 20, 1989-December 31, 1989 [1]",,470766486,135,Restricted - Possibly,2004-0734-F,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-013.pdf,https://catalog.archives.gov/id/470766486,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-013.pdf#page=135,subject-print-470766486-135-memorandum-of-conversation
FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate","Verify OCR, page image, document boundaries, date, and folder provenance before printing.",Print-candidate lead,Brazil,Brazil,1989-05-19,"May 19, 1989",Volume date range,Memorandum of Conversation,The President’s Telephone Conversation with,FRUS Volume XXXI Bush-document source-note model,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00301, CF00301-014, May 16, 1989-May 30, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,George H.W. Bush Library,Bush Presidential Records,National Security Council,Latin American Directorate Chronological Files,"Latin American Affairs Directorate Files, Chronological Files",CF00301-014,"May 16, 1989-May 30, 1989 [2]",,470766431,90,Restricted - Possibly,2015-0017-S,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-014.pdf,https://catalog.archives.gov/id/470766431,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-014.pdf#page=90,chronological-print-470766431-90-memorandum-of-conversation
FRUS-style ready,ocr_lead_verify_page_image,"Verify OCR, page image, document boundaries, date, and folder provenance before printing.",Print-candidate lead,Brazil,Brazil,1989-06-13,"June 13, 1989",Volume date range,Memorandum,:S/S 8913092.,FRUS Volume XXXI Bush-document source-note model,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-013, Brazil - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2004-0734-F.",,George H.W. Bush Library,Bush Presidential Records,National Security Council,Latin American Affairs Directorate Subject Files,"Latin American Affairs Directorate Files, Subject File 1989",CF00189-013,"Brazil - January 20, 1989-December 31, 1989 [1]",,470766486,108,Restricted - Possibly,2004-0734-F,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-013.pdf,https://catalog.archives.gov/id/470766486,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-013.pdf#page=108,subject-print-470766486-108-memorandum
FRUS-style ready,ocr_lead_verify_page_image,"Verify OCR, page image, document boundaries, date, and folder provenance before printing.",Print-candidate lead,Brazil,Brazil,1989-06-13,"June 13, 1989",Volume date range,Memorandum,Alerting NSCS on Presidential,FRUS Volume XXXI Bush-document source-note model,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00301, CF00301-018, June 1, 1989-June 30, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,George H.W. Bush Library,Bush Presidential Records,National Security Council,Latin American Directorate Chronological Files,"Latin American Affairs Directorate Files, Chronological Files",CF00301-018,"June 1, 1989-June 30, 1989 [3]",,470766435,78,Restricted - Possibly,2015-0017-S,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-018.pdf,https://catalog.archives.gov/id/470766435,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-018.pdf#page=78,chronological-print-470766435-78-memorandum
FRUS-style ready,ocr_lead_verify_page_image,"Verify OCR, page image, document boundaries, date, and folder provenance before printing.",Print-candidate lead,Brazil,Brazil,1989-06-13,"June 13, 1989",Volume date range,Memorandum,Alerting NSCS on Presidential,FRUS Volume XXXI Bush-document source-note model,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-013, Brazil - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2004-0734-F.",,George H.W. Bush Library,Bush Presidential Records,National Security Council,Latin American Affairs Directorate Subject Files,"Latin American Affairs Directorate Files, Subject File 1989",CF00189-013,"Brazil - January 20, 1989-December 31, 1989 [1]",,470766486,116,Restricted - Possibly,2004-0734-F,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-013.pdf,https://catalog.archives.gov/id/470766486,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-013.pdf#page=116,subject-print-470766486-116-memorandum
FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate","Verify OCR, page image, document boundaries, date, and folder provenance before printing.",Print-candidate lead,Brazil,Brazil,1989-06-15,"June 15, 1989",Volume date range,Memorandum,Presidential Response to a Letter on Panama from,FRUS Volume XXXI Bush-document source-note model,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00301, CF00301-018, June 1, 1989-June 30, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,George H.W. Bush Library,Bush Presidential Records,National Security Council,Latin American Directorate Chronological Files,"Latin American Affairs Directorate Files, Chronological Files",CF00301-018,"June 1, 1989-June 30, 1989 [3]",,470766435,74,Restricted - Possibly,2015-0017-S,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-018.pdf,https://catalog.archives.gov/id/470766435,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-018.pdf#page=74,chronological-print-470766435-74-memorandum
FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate","Verify OCR, page image, document boundaries, date, and folder provenance before printing.",Print-candidate lead,Brazil,Brazil,1989-06-15,"June 15, 1989",Volume date range,Memorandum,Presidential Response to a Letter on Panama from,FRUS Volume XXXI Bush-document source-note model,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-013, Brazil - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2004-0734-F.",,George H.W. Bush Library,Bush Presidential Records,National Security Council,Latin American Affairs Directorate Subject Files,"Latin American Affairs Directorate Files, Subject File 1989",CF00189-013,"Brazil - January 20, 1989-December 31, 1989 [1]",,470766486,104,Restricted - Possibly,2004-0734-F,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-013.pdf,https://catalog.archives.gov/id/470766486,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-013.pdf#page=104,subject-print-470766486-104-memorandum
FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate","Verify OCR, page image, document boundaries, date, and folder provenance before printing.",Print-candidate lead,Brazil,"Brazil; Venezuela",1989-06-17,"June 17, 1989",Volume date range,Memorandum,Panama -~ Recommendation that President Bush,FRUS Volume XXXI Bush-document source-note model,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-005, July 16, 1989-July 30, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,George H.W. Bush Library,Bush Presidential Records,National Security Council,Latin American Directorate Chronological Files,"Latin American Affairs Directorate Files, Chronological Files",CF00302-005,"July 16, 1989-July 30, 1989 [2]",,470766442,60,Restricted - Possibly,2015-0017-S,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-005.pdf,https://catalog.archives.gov/id/470766442,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-005.pdf#page=60,chronological-print-470766442-60-memorandum
FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate","Verify OCR, page image, document boundaries, date, and folder provenance before printing.",Print-candidate lead,Brazil,"Brazil; Venezuela",1989-06-21,"June 21, 1989",Volume date range,Memorandum,Nicaragua -- Recommendation that President,FRUS Volume XXXI Bush-document source-note model,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00301, CF00301-017, June 1, 1989-June 30, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,George H.W. Bush Library,Bush Presidential Records,National Security Council,Latin American Directorate Chronological Files,"Latin American Affairs Directorate Files, Chronological Files",CF00301-017,"June 1, 1989-June 30, 1989 [2]",,470766434,71,Restricted - Possibly,2015-0017-S,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-017.pdf,https://catalog.archives.gov/id/470766434,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-017.pdf#page=71,chronological-print-470766434-71-memorandum
FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate","Verify OCR, page image, document boundaries, date, and folder provenance before printing.",Print-candidate lead,Brazil,"Brazil; Venezuela",1989-06-21,"June 21, 1989",Volume date range,Memorandum,Nicaragua -- Recommendation that President,FRUS Volume XXXI Bush-document source-note model,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-018, Venezuela - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2009-0704-F.",,George H.W. Bush Library,Bush Presidential Records,National Security Council,Latin American Affairs Directorate Subject Files,"Latin American Affairs Directorate Files, Subject File 1989",CF00193-018,"Venezuela - January 20, 1989-December 31, 1989 [1]",,470766533,136,Restricted - Possibly,2009-0704-F,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-018.pdf,https://catalog.archives.gov/id/470766533,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-018.pdf#page=136,subject-print-470766533-136-memorandum
FRUS-style ready,ocr_lead_verify_page_image,"Verify OCR, page image, document boundaries, date, and folder provenance before printing.",Print-candidate lead,Brazil,Brazil,1989-08-14,"August 14, 1989",Volume date range,Memorandum,Defense Department Proposal to Transfer a U.S.,FRUS Volume XXXI Bush-document source-note model,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-007, August 1, 1989-August 15, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,George H.W. Bush Library,Bush Presidential Records,National Security Council,Latin American Directorate Chronological Files,"Latin American Affairs Directorate Files, Chronological Files",CF00302-007,"August 1, 1989-August 15, 1989 [1]",,470766444,54,Restricted - Possibly,2015-0017-S,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-007.pdf,https://catalog.archives.gov/id/470766444,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-007.pdf#page=54,chronological-print-470766444-54-memorandum
FRUS-style ready,ocr_lead_verify_page_image,"Verify OCR, page image, document boundaries, date, and folder provenance before printing.",Print-candidate lead,Brazil,Brazil,1989-08-14,"August 14, 1989",Volume date range,Memorandum,Defense Department Proposal to Transfer a U.S.,FRUS Volume XXXI Bush-document source-note model,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-013, Brazil - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2004-0734-F.",,George H.W. Bush Library,Bush Presidential Records,National Security Council,Latin American Affairs Directorate Subject Files,"Latin American Affairs Directorate Files, Subject File 1989",CF00189-013,"Brazil - January 20, 1989-December 31, 1989 [1]",,470766486,97,Restricted - Possibly,2004-0734-F,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-013.pdf,https://catalog.archives.gov/id/470766486,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-013.pdf#page=97,subject-print-470766486-97-memorandum
FRUS-style ready,ocr_lead_verify_page_image,"Verify OCR, page image, document boundaries, date, and folder provenance before printing.",Print-candidate lead,Brazil,Brazil,1989-08-16,"August 16, 1989",Volume date range,Memorandum,Defense Department Proposal to Transfer a U.S.,FRUS Volume XXXI Bush-document source-note model,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-013, Brazil - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2004-0734-F.",,George H.W. Bush Library,Bush Presidential Records,National Security Council,Latin American Affairs Directorate Subject Files,"Latin American Affairs Directorate Files, Subject File 1989",CF00189-013,"Brazil - January 20, 1989-December 31, 1989 [1]",,470766486,95,Restricted - Possibly,2004-0734-F,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-013.pdf,https://catalog.archives.gov/id/470766486,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-013.pdf#page=95,subject-print-470766486-95-memorandum
FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate","Verify OCR, page image, document boundaries, date, and folder provenance before printing.",Print-candidate lead,Brazil,"Brazil; Colombia",1989-08-23,"August 23, 1989",Volume date range,Memorandum,Colombian Coffee Complaint,FRUS Volume XXXI Bush-document source-note model,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-012, August 16, 1989-August 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,George H.W. Bush Library,Bush Presidential Records,National Security Council,Latin American Directorate Chronological Files,"Latin American Affairs Directorate Files, Chronological Files",CF00302-012,"August 16, 1989-August 31, 1989 [2]",,470766449,34,Restricted - Possibly,2015-0017-S,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-012.pdf,https://catalog.archives.gov/id/470766449,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-012.pdf#page=34,chronological-print-470766449-34-memorandum
FRUS-style ready,,Source note is ready for compiler review with provenance retained separately.,Declassified memcon/telcon,Brazil,Brazil,1989-09-25,1989-09-25,Volume date range,Memcon,Memorandum of Conversation,FRUS Volume XXXI Bush-document source-note model,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files. Access restriction: Unrestricted.","Source: George H.W. Bush Library, Records of the National Security Council (George H. W. Bush Administration), Presidential Memcon Files, NAID 321498039; item Meeting with Jose Sarney, September 25, 1989, NAID 428080259. Digital object: 1989-09-25--Sarney.pdf.",George H.W. Bush Library,Bush Presidential Records,National Security Council,Presidential Memcon Files,,,Presidential Memcon Files,428080259,321498039,2,Unrestricted,,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-09-25--Sarney.pdf,https://catalog.archives.gov/id/428080259,,presidential-series-428080259
FRUS-style ready,ocr_lead_verify_page_image,"Verify OCR, page image, document boundaries, date, and folder provenance before printing.",Print-candidate lead,Brazil,Brazil,1989-09-26,"September 26, 1989",Volume date range,Memorandum,"Official Travel to Rio de Janeiro, Brazil",FRUS Volume XXXI Bush-document source-note model,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-013, Brazil - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2004-0734-F.",,George H.W. Bush Library,Bush Presidential Records,National Security Council,Latin American Affairs Directorate Subject Files,"Latin American Affairs Directorate Files, Subject File 1989",CF00189-013,"Brazil - January 20, 1989-December 31, 1989 [1]",,470766486,73,Restricted - Possibly,2004-0734-F,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-013.pdf,https://catalog.archives.gov/id/470766486,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-013.pdf#page=73,subject-print-470766486-73-memorandum
FRUS-style ready,ocr_lead_verify_page_image,"Verify OCR, page image, document boundaries, date, and folder provenance before printing.",Print-candidate lead,Brazil,Brazil,1989-10-10,"October 10, 1989",Volume date range,Memorandum,Alerting NSCS on Presidential,FRUS Volume XXXI Bush-document source-note model,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-013, Brazil - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2004-0734-F.",,George H.W. Bush Library,Bush Presidential Records,National Security Council,Latin American Affairs Directorate Subject Files,"Latin American Affairs Directorate Files, Subject File 1989",CF00189-013,"Brazil - January 20, 1989-December 31, 1989 [1]",,470766486,66,Restricted - Possibly,2004-0734-F,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-013.pdf,https://catalog.archives.gov/id/470766486,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-013.pdf#page=66,subject-print-470766486-66-memorandum
FRUS-style ready,ocr_lead_verify_page_image,"Verify OCR, page image, document boundaries, date, and folder provenance before printing.",Print-candidate lead,Brazil,Brazil,1989-10-10,"October 10, 1989",Volume date range,Memorandum,R/S 8923287,FRUS Volume XXXI Bush-document source-note model,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-013, Brazil - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2004-0734-F.",,George H.W. Bush Library,Bush Presidential Records,National Security Council,Latin American Affairs Directorate Subject Files,"Latin American Affairs Directorate Files, Subject File 1989",CF00189-013,"Brazil - January 20, 1989-December 31, 1989 [1]",,470766486,59,Restricted - Possibly,2004-0734-F,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-013.pdf,https://catalog.archives.gov/id/470766486,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-013.pdf#page=59,subject-print-470766486-59-memorandum
FRUS-style ready,ocr_lead_verify_page_image,"Verify OCR, page image, document boundaries, date, and folder provenance before printing.",Print-candidate lead,Brazil,Brazil,1989-10-19,"October 19, 1989",Volume date range,Memorandum,Alerting NSCS on Presidential,FRUS Volume XXXI Bush-document source-note model,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-013, Brazil - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2004-0734-F.",,George H.W. Bush Library,Bush Presidential Records,National Security Council,Latin American Affairs Directorate Subject Files,"Latin American Affairs Directorate Files, Subject File 1989",CF00189-013,"Brazil - January 20, 1989-December 31, 1989 [1]",,470766486,50,Restricted - Possibly,2004-0734-F,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-013.pdf,https://catalog.archives.gov/id/470766486,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-013.pdf#page=50,subject-print-470766486-50-memorandum
